date,severe
2021/6/21,697
2021/6/22,646
2021/6/23,629
2021/6/24,590
2021/6/25,577
2021/6/26,567
2021/6/27,564
2021/6/28,552
2021/6/29,523
2021/6/30,517
2021/7/1,511
2021/7/2,501
2021/7/3,496
2021/7/4,491
2021/7/5,481
2021/7/6,480
2021/7/7,464
2021/7/8,441
2021/7/9,428
2021/7/10,425
2021/7/11,432
2021/7/12,424
2021/7/13,412
2021/7/14,396
2021/7/15,376
2021/7/16,382
2021/7/17,378
2021/7/18,392
2021/7/19,406
2021/7/20,390
2021/7/21,392
2021/7/22,431
2021/7/23,436
2021/7/24,448
2021/7/25,466
2021/7/26,514
2021/7/27,522
2021/7/28,539
2021/7/29,626
2021/7/30,667
2021/7/31,691
2021/8/1,704
2021/8/2,754
2021/8/3,777
2021/8/4,823
2021/8/5,1020
2021/8/6,1068
2021/8/7,1138
2021/8/8,1190
2021/8/9,1230
2021/8/10,1332
2021/8/11,1404
2021/8/12,1478
2021/8/13,1521
2021/8/14,1563
2021/8/15,1603
2021/8/16,1646
2021/8/17,1716
2021/8/18,1765
2021/8/19,1816
2021/8/20,1888
2021/8/21,1891
2021/8/22,1898
2021/8/23,1935
2021/8/24,1964
2021/8/25,1974
2021/8/26,2000
2021/8/27,2060
2021/8/28,2070
2021/8/29,2075
2021/8/30,2110
2021/8/31,2092
2021/9/1,2158
2021/9/2,2221
2021/9/3,2223
2021/9/4,2207
2021/9/5,2198
2021/9/6,2209
2021/9/7,2211
2021/9/8,2173
2021/9/9,2125
2021/9/10,2057
2021/9/11,2010
2021/9/12,1975
2021/9/13,1905
2021/9/14,1834
2021/9/15,1743
2021/9/16,1615
2021/9/17,1559
2021/9/18,1496
2021/9/19,1454
2021/9/20,1429
2021/9/21,1383
2021/9/22,1273
2021/9/23,1228
2021/9/24,1185
2021/9/25,1133
2021/9/26,1106
2021/9/27,1062
2021/9/28,998
2021/9/29,932
2021/9/30,778
2021/10/1,719
2021/10/2,696
2021/10/3,693
2021/10/4,655
2021/10/5,612
2021/10/6,595
2021/10/7,526
2021/10/8,501
2021/10/9,483
2021/10/10,478
2021/10/11,444
2021/10/12,413
2021/10/13,381
2021/10/14,357
2021/10/15,335
2021/10/16,317
2021/10/17,312
2021/10/18,294
2021/10/19,276
2021/10/20,260
2021/10/21,217
2021/10/22,208
2021/10/23,208
2021/10/24,202
2021/10/25,197
2021/10/26,184
2021/10/27,177
2021/10/28,145
2021/10/29,134
2021/10/30,124
2021/10/31,122
