公表日,曜日,累計,増加回数,一般接種,医療従事者等,職域接種,重複,3回目接種,4回目接種
2022/5/27,(金),279402397,183537,193090905,12294115,19397565,19274323,73893712,423
2022/5/26,(木),279218860,186104,193077405,12294115,19397565,19274156,73723783,148
2022/5/25,(水),279032756,269495,193059720,12294115,19397565,19273887,73555243,
2022/5/24,(火),278763261,462291,193033867,12294115,19397565,19273729,73311443,
2022/5/23,(月),278300970,774621,192996834,12294115,19397312,19272888,72885597,
2022/5/20,(金),277526349,232259,192921133,12294115,19397312,19272119,72185908,
2022/5/19,(木),277294090,247359,192896568,12294115,19397312,19271422,71977517,
2022/5/18,(水),277046731,311838,192869198,12294115,19397312,19271077,71757183,
2022/5/17,(火),276734893,577195,192832463,12294115,19397312,19270674,71481677,
2022/5/16,(月),276157698,956558,192780593,12294115,19397037,19280571,70966524,
2022/5/13,(金),275201140,278142,192669542,12294115,19397037,19282966,70123412,
2022/5/12,(木),274922998,333735,192638515,12294115,19397037,19282595,69875926,
2022/5/11,(水),274589263,339499,192600289,12294115,19397037,19282040,69579862,
2022/5/10,(火),274249764,446783,192556929,12294115,19397037,19281037,69282720,
2022/5/9,(月),273802981,1064264,192501289,12294115,19397037,19280796,68891336,
2022/5/6,(金),272738717,737971,192384514,12294115,19395562,19278513,67943039,
2022/5/2,(月),272000746,1304978,192324521,12294115,19395562,19277608,67264156,
2022/4/28,(木),270695768,489181,192197986,12294115,19395562,19275738,66083843,
2022/4/27,(水),270206587,651817,192151549,12294115,19395562,19275069,65640430,
2022/4/26,(火),269554770,731880,192095562,12294115,19395317,19275514,65045290,
2022/4/25,(月),268822890,1432608,192018247,12294115,19395317,19274667,64389878,
2022/4/22,(金),267390282,500324,191854008,12294115,19395317,19273633,63120475,
2022/4/21,(木),266889958,428374,191817109,12294115,19395317,19273166,62656583,
2022/4/20,(水),266461584,659868,191774963,12294115,19395317,19272345,62269534,
2022/4/19,(火),265801716,683791,191709617,12294115,19395206,19269805,61672583,
2022/4/18,(月),265117925,1521184,191636855,12294115,19395206,19269292,61061041,
2022/4/15,(金),263596741,471910,191475443,12294115,19395206,19267147,59699124,
2022/4/14,(木),263124831,485558,191442196,12294115,19395206,19265652,59258966,
2022/4/13,(水),262639273,644492,191404963,12294115,19395206,19264539,58809528,
2022/4/12,(火),261994781,718825,191357036,12294115,19395108,19261983,58210505,
2022/4/11,(月),261275956,1541819,191299537,12294115,19395108,19260029,57547225,
2022/4/8,(金),259734137,515615,191149569,12294115,19395108,19259461,56154806,
