これまでのワクチン総接種回数（合計）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,１回・２回目接種,,,,3回目接種,4回目接種,,,,,
公表日,曜日,総合計,,一般接種,医療従事者等,職域接種,重複,すべて,すべて,,,,,
,,累計,増加回数,,,,,,,,,,,
2022/5/27,(金),"279,402,397","183,537","193,090,905","12,294,115","19,397,565","19,274,323","73,893,712",423,,,,,
2022/5/26,(木),"279,218,860","186,104","193,077,405","12,294,115","19,397,565","19,274,156","73,723,783",148,,,,,
2022/5/25,(水),"279,032,756","269,495","193,059,720","12,294,115","19,397,565","19,273,887","73,555,243",,,,,,
2022/5/24,(火),"278,763,261","462,291","193,033,867","12,294,115","19,397,565","19,273,729","73,311,443",,,,,,
2022/5/23,(月),"278,300,970","774,621","192,996,834","12,294,115","19,397,312","19,272,888","72,885,597",,,,,,
2022/5/20,(金),"277,526,349","232,259","192,921,133","12,294,115","19,397,312","19,272,119","72,185,908",,,,,,
2022/5/19,(木),"277,294,090","247,359","192,896,568","12,294,115","19,397,312","19,271,422","71,977,517",,,,,,
2022/5/18,(水),"277,046,731","311,838","192,869,198","12,294,115","19,397,312","19,271,077","71,757,183",,,,,,
2022/5/17,(火),"276,734,893","577,195","192,832,463","12,294,115","19,397,312","19,270,674","71,481,677",,,,,,
2022/5/16,(月),"276,157,698","956,558","192,780,593","12,294,115","19,397,037","19,280,571","70,966,524",,,,,,
2022/5/13,(金),"275,201,140","278,142","192,669,542","12,294,115","19,397,037","19,282,966","70,123,412",,,,,,
2022/5/12,(木),"274,922,998","333,735","192,638,515","12,294,115","19,397,037","19,282,595","69,875,926",,,,,,
2022/5/11,(水),"274,589,263","339,499","192,600,289","12,294,115","19,397,037","19,282,040","69,579,862",,,,,,
2022/5/10,(火),"274,249,764","446,783","192,556,929","12,294,115","19,397,037","19,281,037","69,282,720",,,,,,
2022/5/9,(月),"273,802,981","1,064,264","192,501,289","12,294,115","19,397,037","19,280,796","68,891,336",,,,,,
2022/5/6,(金),"272,738,717","737,971","192,384,514","12,294,115","19,395,562","19,278,513","67,943,039",,,,,,
2022/5/2,(月),"272,000,746","1,304,978","192,324,521","12,294,115","19,395,562","19,277,608","67,264,156",,,,,,
2022/4/28,(木),"270,695,768","489,181","192,197,986","12,294,115","19,395,562","19,275,738","66,083,843",,,,,,
2022/4/27,(水),"270,206,587","651,817","192,151,549","12,294,115","19,395,562","19,275,069","65,640,430",,,,,,
2022/4/26,(火),"269,554,770","731,880","192,095,562","12,294,115","19,395,317","19,275,514","65,045,290",,,,,,
2022/4/25,(月),"268,822,890","1,432,608","192,018,247","12,294,115","19,395,317","19,274,667","64,389,878",,,,,,
2022/4/22,(金),"267,390,282","500,324","191,854,008","12,294,115","19,395,317","19,273,633","63,120,475",,,,,,
2022/4/21,(木),"266,889,958","428,374","191,817,109","12,294,115","19,395,317","19,273,166","62,656,583",,,,,,
2022/4/20,(水),"266,461,584","659,868","191,774,963","12,294,115","19,395,317","19,272,345","62,269,534",,,,,,
2022/4/19,(火),"265,801,716","683,791","191,709,617","12,294,115","19,395,206","19,269,805","61,672,583",,,,,,
2022/4/18,(月),"265,117,925","1,521,184","191,636,855","12,294,115","19,395,206","19,269,292","61,061,041",,,,,,
2022/4/15,(金),"263,596,741","471,910","191,475,443","12,294,115","19,395,206","19,267,147","59,699,124",,,,,,
2022/4/14,(木),"263,124,831","485,558","191,442,196","12,294,115","19,395,206","19,265,652","59,258,966",,,,,,
2022/4/13,(水),"262,639,273","644,492","191,404,963","12,294,115","19,395,206","19,264,539","58,809,528",,,,,,
2022/4/12,(火),"261,994,781","718,825","191,357,036","12,294,115","19,395,108","19,261,983","58,210,505",,,,,,
2022/4/11,(月),"261,275,956","1,541,819","191,299,537","12,294,115","19,395,108","19,260,029","57,547,225",,,,,,
2022/4/8,(金),"259,734,137","515,615","191,149,569","12,294,115","19,395,108","19,259,461","56,154,806",,,,,,
2022/4/7,(木),"259,218,522","509,667","191,106,032","12,294,115","19,395,108","19,258,239","55,681,506",,,,,,
2022/4/6,(水),"258,708,855","812,910","191,057,904","12,294,115","19,395,108","19,255,612","55,217,340",,,,,,
2022/4/5,(火),"257,895,945","721,921","190,997,919","12,294,115","19,395,007","19,255,081","54,463,985",,,,,,
2022/4/4,(月),"257,174,024","1,454,473","190,927,209","12,294,115","19,395,007","19,254,562","53,812,255",,,,,,
2022/4/1,(金),"255,719,551","640,944","190,762,722","12,294,115","19,395,007","19,253,381","52,521,088",,,,,,
2022/3/31,(木),"255,078,607","733,020","190,715,317","12,294,115","19,395,007","19,256,693","51,930,861",,,,,,
2022/3/30,(水),"254,345,587","932,462","190,666,851","12,294,115","19,395,007","19,254,730","51,244,344",,,,,,
2022/3/29,(火),"253,413,125","1,078,268","190,612,080","12,294,115","19,394,861","19,259,094","50,371,163",,,,,,
2022/3/28,(月),"252,334,857","2,146,869","190,533,539","12,294,115","19,394,861","19,258,081","49,370,423",,,,,,
2022/3/25,(金),"250,187,988","779,830","190,380,802","12,294,115","19,394,861","19,264,116","47,382,326",,,,,,
2022/3/24,(木),"249,408,158","918,689","190,341,377","12,294,115","19,394,861","19,263,206","46,641,011",,,,,,
2022/3/23,(水),"248,489,469","1,356,875","190,296,449","12,294,115","19,394,861","19,262,750","45,766,794",,,,,,
2022/3/22,(火),"247,132,594","2,420,719","190,231,895","12,294,115","19,394,762","19,261,073","44,472,895",,,,,,
2022/3/18,(金),"244,711,875","875,484","190,104,569","12,294,115","19,394,762","19,258,698","42,177,127",,,,,,
2022/3/17,(木),"243,836,391","908,428","190,072,066","12,294,115","19,394,762","19,258,855","41,334,303",,,,,,
2022/3/16,(水),"242,927,963","1,238,189","190,037,910","12,294,115","19,394,762","19,258,758","40,459,934",,,,,,
2022/3/15,(火),"241,689,774","1,248,324","189,998,180","12,294,115","19,394,699","19,257,684","39,260,464",,,,,,
2022/3/14,(月),"240,441,450","2,391,236","189,939,196","12,294,115","19,394,699","19,253,631","38,067,071",,,,,,
2022/3/11,(金),"238,050,214","961,173","189,829,975","12,294,115","19,394,699","19,253,480","35,784,905",,,,,,
2022/3/10,(木),"237,089,041","985,059","189,796,557","12,294,115","19,394,699","19,252,639","34,856,309",,,,,,
2022/3/9,(水),"236,103,982","1,178,387","189,770,659","12,294,115","19,394,699","19,251,883","33,896,392",,,,,,
2022/3/8,(火),"234,925,595","1,292,887","189,738,496","12,294,115","19,392,753","19,249,563","32,749,794",,,,,,
2022/3/7,(月),"233,632,708","2,510,513","189,693,099","12,294,115","19,392,753","19,246,814","31,499,555",,,,,,
2022/3/4,(金),"231,122,195","1,025,210","189,621,652","12,294,115","19,392,753","19,246,609","29,060,284",,,,,,
2022/3/3,(木),"230,096,985","1,084,223","189,587,796","12,294,115","19,392,753","19,243,117","28,065,438",,,,,,
2022/3/2,(水),"229,012,762","1,250,776","189,562,159","12,294,115","19,392,753","19,244,392","27,008,127",,,,,,
2022/3/1,(火),"227,761,986","1,375,421","189,527,223","12,294,115","19,394,536","19,251,980","25,798,092",,,,,,
2022/2/28,(月),"226,386,565","2,565,746","189,489,619","12,294,115","19,394,536","19,250,234","24,458,529",,,,,,
2022/2/25,(金),"223,820,819","1,128,076","189,410,936","12,294,115","19,394,536","19,248,706","21,969,938",,,,,,
2022/2/24,(木),"222,692,743","1,552,225","189,379,200","12,294,115","19,394,536","19,248,858","20,873,750",,,,,,
2022/2/22,(火),"221,140,518","1,241,391","189,316,360","12,294,115","19,394,536","19,248,185","19,383,692",,,,,,
2022/2/21,(月),"219,899,127","2,256,169","189,278,212","12,294,115","19,390,507","19,243,964","18,180,257",,,,,,
2022/2/18,(金),"217,642,958","977,225","189,195,851","12,294,115","19,390,507","19,246,661","16,009,146",,,,,,
2022/2/17,(木),"216,665,733","1,016,105","189,166,869","12,294,115","19,390,507","19,247,340","15,061,582",,,,,,
2022/2/16,(水),"215,649,628","1,077,646","189,136,326","12,294,115","19,390,507","19,246,794","14,075,474",,,,,,
2022/2/15,(火),"214,571,982","1,133,827","189,101,178","12,294,115","19,390,507","19,243,937","13,030,119",,,,,,
2022/2/14,(月),"213,438,155","2,036,259","189,063,518","12,294,115","19,390,507","19,241,048","11,931,063",,,,,,
2022/2/10,(木),"211,401,896","859,650","188,984,843","12,294,115","19,390,507","19,237,852","9,970,283",,,,,,
2022/2/9,(水),"210,542,246","888,339","188,952,443","12,294,115","19,390,507","19,235,285","9,140,466",,,,,,
